id,ticker,name,date_added_first
352,ORLY,O'Reilly Automotive,2009-03-27
353,OXY,Occidental Petroleum,1982-12-31
354,ODFL,Old Dominion Freight Line,2019-12-09
355,OMC,Omnicom Group,1900-01-01
356,OKE,Oneok,2010-03-15
357,ORCL,Oracle,1989-08-31
358,OGN,Organon & Co.,2021-06-03
359,OTIS,Otis Worldwide,2020-04-03
360,PCAR,Paccar,1980-12-31
361,PKG,Packaging Corporation of America,2017-07-26
362,PH,Parker-Hannifin,1985-11-30
363,PAYX,Paychex,1900-01-01
364,PAYC,Paycom,2020-01-28
365,PYPL,PayPal,2015-07-20
366,PENN,Penn National Gaming,2021-03-22
367,PNR,Pentair,2012-10-01
368,PBCT,People's United Financial,2008-11-13
369,PEP,PepsiCo,1957-03-04
370,PKI,PerkinElmer,1985-05-31
371,PFE,Pfizer,1957-03-04
372,PM,Philip Morris International,2008-03-31
373,PSX,Phillips 66,2012-05-01
374,PNW,Pinnacle West Capital,1900-01-01
375,PXD,Pioneer Natural Resources,2008-09-24
376,PNC,PNC Financial Services,1988-04-30
377,POOL,Pool Corporation,2020-10-07
378,PPG,PPG Industries,1957-03-04
379,PPL,PPL,1900-01-01
380,PFG,Principal Financial Group,2002-07-22
381,PG,Procter & Gamble,1957-03-04
382,PGR,Progressive Corporation,1997-08-04
383,PLD,Prologis,2003-07-17
384,PRU,Prudential Financial,2002-07-22
385,PTC,PTC,2021-04-20
386,PEG,Public Service Enterprise Group,1957-03-04
387,PSA,Public Storage,2005-08-19
388,PHM,PulteGroup,1984-04-30
389,PVH,PVH,2013-02-15
390,QRVO,Qorvo,2015-06-11
391,PWR,Quanta Services,2009-07-01
392,QCOM,Qualcomm,1900-01-01
393,DGX,Quest Diagnostics,2002-12-12
394,RL,Ralph Lauren Corporation,2007-02-02
395,RJF,Raymond James Financial,2017-03-20
396,RTX,Raytheon Technologies,1900-01-01
397,O,Realty Income Corporation,2015-04-07
398,REG,Regency Centers,2017-03-02
399,REGN,Regeneron Pharmaceuticals,2013-05-01
400,RF,Regions Financial Corporation,1998-08-28
401,RSG,Republic Services,2008-12-05
402,RMD,ResMed,2017-07-26
403,RHI,Robert Half International,2000-12-05
404,ROK,Rockwell Automation,1900-01-01
405,ROL,Rollins,2018-10-01
406,ROP,Roper Technologies,2009-12-23
407,ROST,Ross Stores,2009-12-21
408,RCL,Royal Caribbean Group,2014-12-05
409,SPGI,S&P Global,1900-01-01
410,CRM,Salesforce,2008-09-15
411,SBAC,SBA Communications,2017-09-01
412,SLB,Schlumberger,1965-03-31
413,STX,Seagate Technology,2012-07-02
414,SEE,Sealed Air,1957-03-04
415,SRE,Sempra Energy,1900-01-01
416,NOW,ServiceNow,2019-11-21
417,SHW,Sherwin-Williams,1964-06-30
418,SPG,Simon Property Group,2002-06-26
419,SWKS,Skyworks Solutions,2015-03-12
420,SNA,Snap-on,1982-09-30
421,SO,Southern Company,1957-03-04
422,LUV,Southwest Airlines,1994-07-01
423,SWK,Stanley Black & Decker,1982-09-30
424,SBUX,Starbucks,1900-01-01
425,STT,State Street Corporation,1900-01-01
426,STE,Steris,2019-12-23
427,SYK,Stryker Corporation,2000-12-12
428,SIVB,SVB Financial,2018-03-19
429,SYF,Synchrony Financial,2015-11-18
430,SNPS,Synopsys,2017-03-16
431,SYY,Sysco,1986-12-31
432,TMUS,T-Mobile US,2019-07-15
433,TROW,T. Rowe Price,1900-01-01
434,TTWO,Take-Two Interactive,2018-03-19
435,TPR,Tapestry,1900-01-01
436,TGT,Target Corporation,1976-12-31
437,TEL,TE Connectivity,2011-10-17
438,TDY,Teledyne Technologies,2020-06-22
439,TFX,Teleflex,2019-01-18
440,TER,Teradyne,2020-09-21
441,TSLA,Tesla,2020-12-21
442,TXN,Texas Instruments,1900-01-01
443,TXT,Textron,1978-12-31
444,TMO,Thermo Fisher Scientific,2004-08-03
445,TJX,TJX Companies,1985-09-30
446,TSCO,Tractor Supply Company,2014-01-24
447,TT,Trane Technologies,2010-11-17
448,TDG,TransDigm Group,2016-06-03
449,TRV,The Travelers Companies,2002-08-21
450,TRMB,Trimble,2021-01-21
451,TFC,Truist Financial,1997-12-04
452,TWTR,Twitter,2018-06-07
453,TYL,Tyler Technologies,2020-06-22
454,TSN,Tyson Foods,2005-08-10
455,UDR,UDR,2016-03-07
456,ULTA,Ulta Beauty,2016-04-18
457,USB,U.S. Bancorp,1900-01-01
458,UAA,Under Armour (Class A),2014-05-01
459,UA,Under Armour (Class C),2016-04-08
460,UNP,Union Pacific,1957-03-04
461,UAL,United Airlines,2015-09-03
462,UNH,UnitedHealth Group,1994-07-01
463,UPS,United Parcel Service,2002-07-22
464,URI,United Rentals,2014-09-20
465,UHS,Universal Health Services,2014-09-20
466,VLO,Valero Energy,1900-01-01
467,VTR,Ventas,2009-03-04
468,VRSN,Verisign,2006-02-01
469,VRSK,Verisk Analytics,2015-10-08
470,VZ,Verizon Communications,1983-11-30
471,VRTX,Vertex Pharmaceuticals,2013-09-23
472,VFC,VF Corporation,1979-06-30
473,VIAC,ViacomCBS,1900-01-01
474,VTRS,Viatris,2004-04-23
475,V,Visa,2009-12-21
476,VNO,Vornado Realty Trust,1900-01-01
477,VMC,Vulcan Materials,1999-06-30
478,WRB,W. R. Berkley Corporation,2019-12-05
479,WAB,Wabtec,2019-02-27
480,WMT,Walmart,1982-08-31
481,WBA,Walgreens Boots Alliance,1979-12-31
482,DIS,The Walt Disney Company,1976-06-30
483,WM,Waste Management,1900-01-01
484,WAT,Waters Corporation,1900-01-01
485,WEC,WEC Energy Group,2008-10-31
486,WFC,Wells Fargo,1976-06-30
487,WELL,Welltower,2009-01-30
488,WST,West Pharmaceutical Services,2020-05-22
489,WDC,Western Digital,2009-07-01
490,WU,Western Union,2006-09-29
491,WRK,WestRock,1900-01-01
492,WY,Weyerhaeuser,1900-01-01
493,WHR,Whirlpool Corporation,1900-01-01
494,WMB,Williams Companies,1975-03-31
495,WLTW,Willis Towers Watson,2016-01-05
496,WYNN,Wynn Resorts,2008-11-14
497,XEL,Xcel Energy,1957-03-04
498,XLNX,Xilinx,1999-11-08
499,XYL,Xylem,2011-11-01
500,YUM,Yum! Brands,1997-10-06
501,ZBRA,Zebra Technologies,2019-12-23
502,ZBH,Zimmer Biomet,2001-08-07
503,ZION,Zions Bancorp,2001-06-22
504,ZTS,Zoetis,2013-06-21
