FLCSX,mg_average,PRCOX,HAIAX,DFUSX,VPMCX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
6096.128288698311,264053.8124681276,7615.708673079909,7382.533430568148,6971.780216457022,7941.377691305341,12059.834964248046,8258.77331334587,7210.8119389429385,7641.9378006782945,5956.676060169366,8199.987587559704,7323.774485198895
6106.152628962856,264053.8124681276,7779.327775149232,7447.362152455932,7036.24605695061,8014.728708796288,12065.176304976163,8352.87603848968,7286.218217800391,7729.594204773965,6010.967384382382,8323.481194361631,7469.7649286887745
6266.626526728703,264053.8124681276,7950.3825647409285,7544.609329013313,7183.131417549758,8306.33571293225,12234.847373972056,8315.735702199343,7427.606863454631,7880.565749300602,6104.963033337471,8446.97536639308,7554.9241941505
6387.1375168224295,264053.8124681276,8076.815166959749,7714.786951437143,7321.803210101056,8676.658637526645,12240.215869457306,8407.361023880438,7568.9955091088705,8057.47480567994,6221.61985054686,8626.040644072256,7640.085338374093
6316.83856392019,264053.8124681276,7995.007055610558,7714.786951437143,7210.866698044885,8513.857785124173,12202.607888565566,8412.310181083034,7503.014640549296,7985.099384873152,6167.179067389732,8551.94527131243,7567.092308517999
6643.22499891807,264053.8124681276,8493.303504586032,8168.597155332617,7656.1425825889355,9163.26659401711,12512.180266312134,8731.769050629991,7974.309876357225,8379.12794277413,6509.694951876639,9008.871729525465,8041.554204503103
6688.417302974319,264053.8124681276,8537.92166083959,8290.154801588675,7721.1043192290945,9245.559390355073,12647.245312817371,8843.204183808082,8059.142314631163,8531.914788607319,6564.263911798134,9052.096526732417,8102.383503769391
6969.61101374912,264053.8124681276,8946.969703949992,8711.550403732861,8073.751676942298,9488.865833711181,12965.990567523562,9197.326927803133,8285.36339855934,8966.153791650602,6907.289117541189,9459.624185673827,8479.520524941096
7162.000784031307,264053.8124681276,9156.849931332763,8846.222420690325,8267.627971993525,9870.719725274897,13246.366150400423,9397.587944998066,8610.506343498899,9195.887778005621,7049.898101890758,9694.263960377863,8642.282675629947
7192.242711891184,264053.8124681276,9321.029358987531,8943.523056489274,8379.605009828689,10113.222542485775,13419.807657424273,9595.407340308231,8725.314762782979,9358.21425193394,7159.316075871745,9836.279008144278,8666.799265504309
7076.3161620953215,264053.8124681276,9164.311533193619,8805.680087761773,8239.633218614268,10019.813739509105,13278.878541116102,9362.53141481301,8658.345806782385,9236.468044307956,7042.07931926433,9669.562299823965,8495.17812635212
6899.915840583662,264053.8124681276,9007.59255565133,8684.055015435273,8127.034499554188,9894.071720593158,13059.278020179243,9379.31109163003,8476.5669332605,9122.84032386598,6901.5656622477445,9478.14958324497,8470.661536477759
7010.795346400241,264053.8124681276,9171.77486267704,8675.946548849563,8239.261131864187,10052.14859885563,13211.570044609834,9394.337471127563,8620.076333687692,9139.071889515017,6987.738175403276,9638.689463353005,8519.695968734397
7136.798337147748,264053.8124681276,9335.956593828565,8870.548783677035,8370.190227210658,10362.90787108259,13260.521925294004,9494.517414799826,8782.718223306414,9285.161389075321,7089.577274965859,9848.629273191706,8605.505285802577
6778.382164422205,264053.8124681276,9037.446449459208,8513.780106824086,8119.496614702063,9901.25834049722,12945.130283093773,9229.0407053114,8447.86370476157,9112.683425717634,6883.627203153013,9453.449618379636,8323.559492215756
6737.943207730062,264053.8124681276,9052.3708049293,8505.670677008799,8147.656666796843,9867.126415322866,13318.289597881494,9279.130206337295,8476.5669332605,9169.941476984583,6930.774002888766,9434.924220808494,8323.559492215756
6773.326296939463,264053.8124681276,9164.311533193619,8594.863809451614,8203.974795304543,10271.297777340997,13367.675954679797,9153.904099721374,8572.240615997232,9317.18235759705,6977.921286310422,9657.215426153667,8274.525686213075
