FLCSX,HAIAX,DFUSX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
5429.362950720238,6564.055556015765,6151.574829077188,11154.42173009971,7462.644018551437,6305.92480241432,6757.423893367048,5235.519703040101,7131.768227860751,6460.008927875839
5409.3088113927715,6458.7042169625165,6059.756996415849,11000.607723299618,7296.749732061793,6202.2422771291285,6653.829966685653,5166.021300751222,7014.448057893973,6387.013397575294
5444.4002989234405,6499.223444089997,6096.4842611925,11080.169782357398,7393.312006249349,6268.221657336768,6621.956368516506,5189.185983789946,7113.241134601045,6435.67583193449
5820.3953483505975,7001.65858548925,6621.808813015686,11755.53284815037,7892.275940853406,6777.220108833466,7131.950165388574,5646.433087672512,7687.488328010378,7056.130637569072
6096.124743141555,7382.535082276205,6971.7758059596035,12059.835762642506,8258.78019048236,7210.812270175059,7641.94463835088,5956.674032879804,8199.987022330182,7323.775905306399
6106.150342221626,7447.3643045124045,7036.247569252912,12065.170313232755,8352.882009448977,7286.218560330163,7729.597709406274,6010.964868154975,8323.480063902589,7469.76446089182
6266.624633183914,7544.611509171201,7183.132920178769,12234.845409367357,8315.73695106566,7427.607976286497,7880.565279047794,6104.963893818185,8446.973670704516,7554.924347274329
6387.136863524038,7714.789662386009,7321.8027279159605,12240.21797660727,8407.364190498933,7568.995894005395,8057.478487653747,6221.618764999099,8626.0417745313,7640.0842336568385
6316.83708210319,7714.789662386009,7210.8649060444795,12202.604574977931,8412.316174428102,7503.014266441602,7985.106408152295,6167.179921851844,8551.946967000995,7567.089955864129
6643.223042079618,8168.600479033472,7656.1427369461435,12512.178226398382,8731.77233943623,7974.309572860747,8379.131122630937,6509.692871089594,9008.873990443552,8041.554327151539
6688.416599040826,8290.156233956202,7721.103810747602,12647.24595170202,8843.208456207005,8059.142023844599,8531.920079372994,6564.264727847381,9052.094831043853,8102.38299635445
6969.610262556327,8711.550994640782,8073.751145236842,12965.989762116247,9197.329450340141,8285.3646399035,8966.157965103603,6907.289416721292,9459.624185673827,8479.521246415636
7161.997059336874,8846.22497697399,8267.62742752014,13246.357122432893,9397.593367825531,8610.509131794628,9195.890047444633,7049.895001474275,9694.263960377863,8642.282760657527
7192.237301447046,8943.524677659945,8379.601165178055,13419.794509146672,9595.409071160733,8725.315320923582,9358.220665712252,7159.314415928046,9836.280138603322,8666.798722742611
