FLCSX,PRCOX,HAIAX,DFUSX,VPMCX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
8176.5046019589345,9303.65934603965,9554.342571250814,8924.366262510423,9663.192750536798,10562.102191239846,9925.955653241383,8907.476775816285,10685.105224994379,7583.013818425245,10121.360430587327,8502.202190724014
7593.536022270848,8681.438298600637,9035.702200623191,8336.755322270092,9351.362002406113,10198.231790594431,9276.187437894227,8379.626633154085,10240.79900344299,7034.749936758056,9532.7665814602,8064.064902956
8226.330480710109,9407.360454470643,9765.041335552485,8988.633842398229,10158.417872249584,10888.73934158666,9884.925471189372,8945.17992936708,11175.480235347011,7575.290320427463,10175.972906966386,8620.616793763864
8211.380952384954,9518.473062854471,9846.074950241968,9043.72570200714,10038.366982504864,11002.677323643065,9938.304067603849,8982.883082917871,10925.958991746627,7621.6216346942165,10206.309905850849,8585.093164356655
8071.868828014963,9303.65934603965,9619.170811523809,8805.009457254795,9821.217848485916,10997.722258662401,9635.012735891296,8737.81108659994,10260.571938536636,7343.630846977712,9781.55461631994,8561.408865989983
7847.649432468342,9214.769720031885,9432.786851453913,8713.194959722125,9623.487212936836,11226.72378761121,9567.072916379277,8718.958011586772,9759.274690392926,7289.57409996919,9648.057577444357,8608.776210215417
7299.559724205992,8629.58774438514,8873.62437571887,8162.304681724734,9162.705439242047,10963.093828795478,9123.05354046102,8191.1078689245705,9561.355358099645,6841.699246949272,9192.960201963291,7945.650926170107
6537.216972613792,7955.516142730631,8136.183516810909,7482.879243951733,7692.080396462106,10401.01607684037,8793.070085679012,7568.997595028727,8967.57640242243,6262.547661208915,8513.349703887558,7495.673054853646
6796.31439925291,8155.516649499858,8395.50418373951,7620.601978091148,8055.762282475553,10923.98214791714,8902.256660012861,7729.237870416816,8966.039649311993,6401.543055067167,8707.526392827282,7649.611913554659
7284.611876547317,8748.106669854706,8987.077408307528,8208.21291833148,8973.80400841786,11209.087449327519,9309.883336015384,8275.9403389733,8919.979649683843,6880.308514276235,9362.867065703636,8229.848102729196
